,0,1
0,0,1
1,1,0
2,1,0
3,0,1
4,0,1
5,0,1
6,0,1
7,0,1
8,0,1
9,0,1
10,0,1
11,0,1
12,0,1
13,0,1
14,0,1
15,0,1
16,1,0
17,1,0
18,0,1
19,0,1
20,0,1
21,0,1
22,0,1
23,0,1
24,1,0
25,0,1
26,0,1
27,0,1
28,0,1
29,0,1
30,1,0
31,1,0
32,0,1
33,0,1
34,0,1
35,1,0
36,0,1
37,1,0
38,0,1
39,0,1
40,1,0
41,0,1
42,0,1
43,1,0
44,0,1
45,0,1
46,0,1
47,0,1
48,0,1
49,0,1
50,1,0
51,0,1
52,0,1
53,1,0
54,0,1
55,1,0
56,1,0
57,1,0
58,0,1
59,1,0
60,1,0
61,1,0
62,1,0
63,1,0
64,0,1
65,0,1
66,0,1
67,1,0
68,0,1
69,1,0
70,1,0
71,0,1
72,0,1
73,1,0
74,1,0
75,1,0
76,0,1
77,1,0
78,1,0
79,1,0
80,0,1
81,0,1
82,1,0
83,0,1
84,1,0
85,0,1
86,1,0
87,1,0
88,0,1
89,1,0
90,0,1
91,1,0
92,0,1
93,0,1
94,0,1
95,1,0
96,0,1
97,0,1
98,0,1
99,0,1
100,0,1
101,0,1
102,0,1
103,1,0
104,0,1
105,1,0
106,0,1
107,0,1
108,0,1
109,0,1
110,1,0
111,1,0
112,0,1
113,0,1
114,0,1
115,1,0
116,1,0
117,0,1
118,0,1
119,1,0
120,1,0
121,0,1
122,0,1
123,0,1
124,0,1
125,1,0
126,0,1
127,0,1
128,0,1
129,1,0
130,0,1
131,0,1
132,1,0
133,0,1
134,1,0
135,0,1
136,1,0
137,1,0
138,1,0
139,1,0
140,1,0
141,0,1
142,1,0
143,1,0
144,1,0
145,0,1
146,1,0
147,0,1
148,0,1
149,0,1
150,0,1
151,0,1
152,0,1
153,1,0
154,0,1
155,0,1
156,0,1
157,0,1
158,1,0
159,0,1
160,0,1
161,1,0
162,0,1
163,1,0
164,1,0
165,1,0
166,0,1
167,0,1
168,1,0
169,0,1
170,1,0
171,0,1
172,1,0
173,0,1
174,1,0
175,0,1
176,1,0
177,0,1
178,1,0
179,0,1
180,0,1
181,1,0
182,0,1
183,0,1
184,1,0
185,1,0
186,0,1
187,0,1
188,0,1
189,1,0
190,1,0
191,1,0
192,1,0
193,1,0
194,0,1
195,1,0
196,1,0
197,0,1
198,0,1
199,1,0
200,0,1
201,1,0
202,0,1
203,1,0
204,0,1
205,1,0
206,0,1
207,0,1
208,0,1
209,1,0
210,0,1
211,0,1
212,0,1
213,0,1
214,1,0
215,0,1
216,0,1
217,0,1
218,1,0
219,0,1
220,0,1
221,0,1
222,1,0
223,0,1
